long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
ramiro enrique paz,2001-05-04,171,68,liga profesional,1,banfield,18,argentina,99,derecha,"delantero, extremo izquierdo",delantero,no convocado
cristian nicolas medina,2002-06-01,178,70,liga profesional,1,boca juniors,36,argentina,99,derecha,mediocampista central,suplente,no convocado
ezequiel fernandez,2002-07-25,178,76,liga profesional,1,boca juniors,21,argentina,99,izquierda,"mediocampista defensivo, mediocampista central",suplente,no convocado
maximo perrone,2003-01-07,178,64,liga profesional,1,velez sarsfield,16,argentina,99,izquierda,"mediocampista central, mediocampista defensivo",mediocentro izquierdo,no convocado
gonzalo ruben bergessio,1984-07-20,179,79,liga profesional,1,platense,9,argentina,99,derecha,delantero,suplente,no convocado
leonardo sebastian prediger,1986-09-04,184,85,liga profesional,1,tigre,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
pier miqueas barrios,1990-07-01,180,82,liga profesional,1,godoy cruz,2,argentina,99,derecha,"defensor central, lateral derecho",lateral derecho,no convocado
oscar mauricio opazo lara,1990-10-18,169,72,liga profesional,1,racing club,16,chile,99,derecha,"lateral derecho, lateral izquierdo",lateral izquierdo,no convocado
claudio matias kranevitter,1993-05-21,179,76,liga profesional,1,river plate,22,argentina,99,derecha,"mediocampista defensivo, mediocampista central",reserva,no convocado
matias alejandro ibanez basualdo,1986-12-16,180,75,liga profesional,1,colon,31,argentina,99,derecha,arquero,suplente,no convocado
damian alfredo perez,1988-12-22,168,65,liga profesional,1,independiente,15,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
diego luis braghieri,1987-01-07,186,79,liga profesional,1,lanus,6,argentina,99,izquierda,defensor central,suplente,no convocado
emanuel mariano insua zapata,1991-04-10,182,81,liga profesional,1,banfield,17,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
cristian matias menendez,1988-04-02,185,83,liga profesional,1,atletico tucuman,11,argentina,99,derecha,delantero,delantero derecho,no convocado
julian rodrigo fernandez,1995-03-22,174,78,liga profesional,1,newell's old boys,20,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo derecho,no convocado
yonathan emanuel cabral,1992-05-10,188,84,liga profesional,1,atletico tucuman,27,argentina,99,derecha,defensor central,suplente,no convocado
hector hugo fertoli,1994-12-03,174,63,liga profesional,1,racing club,25,argentina,99,derecha,"mediocampista izquierdo, mediocampista derecho, mediocampista ofensivo",reserva,no convocado
lucas andres colitto,1994-06-01,172,62,liga profesional,1,barracas central,7,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo, mediocampista ofensivo",suplente,no convocado
nestor adriel breitenbruch,1995-09-13,178,76,liga profesional,1,godoy cruz,25,argentina,99,derecha,"lateral derecho, defensor central, carrilero derecho",suplente,no convocado
walter ivan alexis montoya,1993-07-21,173,72,liga profesional,1,rosario central,8,argentina,99,derecha,"mediocampista derecho, mediocampista central",mediocentro derecho,no convocado
jonathan sebastian galvan,1992-06-25,183,84,liga profesional,1,racing club,8,argentina,99,derecha,"defensor central, mediocampista defensivo",suplente,no convocado
federico vicente lanzillota,1992-12-01,185,80,liga profesional,1,argentinos juniors,20,argentina,99,derecha,arquero,arquero,no convocado
joaquin marcelo laso,1990-07-04,185,79,liga profesional,1,independiente,2,argentina,99,derecha,"defensor central, lateral derecho",defensor central izquierdo,no convocado
augusto martin batalla barga,1996-04-30,185,87,liga profesional,1,san lorenzo,13,argentina,99,derecha,arquero,arquero,no convocado
maximiliano samuel romero,1999-01-09,179,72,liga profesional,1,racing club,15,argentina,99,derecha,"delantero, extremo izquierdo",delantero,no convocado
matias gabriel vera,1995-10-26,173,69,liga profesional,1,argentinos juniors,15,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
brian abel luciatti,1993-03-18,178,67,liga profesional,1,tigre,6,argentina,99,izquierda,"defensor central, lateral izquierdo",defensor central izquierdo,no convocado
jalil juan jose elias,1996-04-25,175,69,liga profesional,1,san lorenzo,27,argentina,99,derecha,"mediocampista central, mediocampista derecho, carrilero derecho",mediocentro derecho,no convocado
alexis nahuel soto,1993-10-20,177,73,liga profesional,1,defensa y justicia,13,argentina,99,izquierda,"lateral izquierdo, defensor central",lateral izquierdo,no convocado
brian rolando blasi,1996-02-08,180,75,liga profesional,1,central cordoba sde,4,argentina,99,derecha,"lateral derecho, defensor central, carrilero derecho",lateral derecho,no convocado
gaston alberto togni,1997-09-20,180,76,liga profesional,1,defensa y justicia,11,argentina,99,izquierda,"mediocampista izquierdo, carrilero izquierdo, extremo izquierdo",mediocampista izquierdo,no convocado
kevin facundo gutierrez,1997-06-03,168,65,liga profesional,1,defensa y justicia,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro derecho,no convocado
federico agustin gattoni,1999-02-16,183,79,liga profesional,1,san lorenzo,6,argentina,99,derecha,defensor central,defensor central,no convocado
jose antonio paradela,1998-12-15,179,71,liga profesional,1,river plate,26,argentina,99,izquierda,"mediocampista izquierdo, mediocampista central, mediocampista ofensivo",reserva,no convocado
ezequiel ignacio centurion,1997-05-20,184,79,liga profesional,1,river plate,33,argentina,99,derecha,arquero,suplente,no convocado
federico girotti bonazza,1999-06-02,190,84,liga profesional,1,talleres cordoba,11,argentina,99,derecha,delantero,suplente,no convocado
facundo ezequiel almada,1998-07-10,180,72,liga profesional,1,rosario central,32,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
victor gustavo velazquez ramos,1991-04-17,179,83,liga profesional,1,newell's old boys,25,paraguay,99,derecha,defensor central,defensor central derecho,no convocado
fabio jesus pereyra,1990-01-31,185,76,liga profesional,1,central cordoba sde,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
jesus miguel soraire,1988-12-03,174,73,liga profesional,1,central cordoba sde,8,argentina,99,derecha,mediocampista central,mediocentro derecho,no convocado
miguel marcelo brizuela,1997-01-05,181,72,liga profesional,1,velez sarsfield,28,argentina,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
ramiro ruiz rodriguez,2000-03-21,185,75,liga profesional,1,atletico tucuman,18,argentina,99,derecha,"delantero, mediocampista izquierdo",delantero izquierdo,no convocado
facundo martin perez,1999-07-31,170,65,liga profesional,1,lanus,34,argentina,99,derecha,"mediocampista central, mediocampista derecho",suplente,no convocado
santiago daniel pierotti,2001-04-03,189,83,liga profesional,1,colon,30,argentina,99,derecha,"mediocampista derecho, mediocampista central",mediocampista derecho ofensivo,no convocado
armando jesus mendez alcorta,1996-03-03,176,82,liga profesional,1,newell's old boys,14,uruguay,99,derecha,"lateral derecho, carrilero derecho",lateral derecho,no convocado
mauro luna diale,1999-04-26,173,71,liga profesional,1,union santa fe,7,argentina,99,derecha,"delantero, mediocampista derecho",suplente,no convocado
martin ezequiel canete,1999-06-17,175,74,liga profesional,1,union santa fe,10,argentina,99,derecha,"mediocampista central, delantero, mediocampista ofensivo",delantero centro,no convocado
renzo ivan tesuri,1996-06-07,166,60,liga profesional,1,atletico tucuman,24,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
nicolas eduardo castro,1990-08-15,181,79,liga profesional,1,patronato,7,argentina,99,izquierda,"mediocampista central, mediocampista izquierdo, mediocampista derecho",mediocentro izquierdo,no convocado
ederson salomon rodriguez lima,2000-02-16,187,76,liga profesional,1,godoy cruz,20,uruguay,99,izquierda,delantero,delantero derecho,no convocado
federico vera,1998-03-24,178,75,liga profesional,1,union santa fe,16,argentina,99,derecha,"lateral derecho, carrilero derecho",lateral derecho,no convocado
kevin andres zenon,2000-07-30,177,70,liga profesional,1,union santa fe,34,argentina,99,izquierda,"mediocampista izquierdo, mediocampista derecho, extremo izquierdo",suplente,no convocado
mauro mendez,1999-01-17,177,75,liga profesional,1,estudiantes,7,uruguay,99,derecha,delantero,suplente,no convocado
gonzalo damian abrego,2000-01-06,184,75,liga profesional,1,godoy cruz,32,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro derecho,no convocado
alejandro gabriel medina,1986-12-17,181,79,liga profesional,1,arsenal de sarandi,23,argentina,99,derecha,arquero,arquero,no convocado
nicolas garayalde,1999-07-21,182,76,liga profesional,1,velez sarsfield,36,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",mediocentro derecho,no convocado
ivan tapia,1998-11-23,179,70,liga profesional,1,barracas central,10,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",mediocampista ofensivo,no convocado
valentin gomez,2003-06-26,181,73,liga profesional,1,velez sarsfield,31,argentina,99,izquierda,"defensor central, lateral izquierdo",defensor central izquierdo,no convocado
alan rodriguez,2000-01-25,171,60,liga profesional,1,argentinos juniors,8,uruguay,99,derecha,"mediocampista central, mediocampista ofensivo",mediocentro derecho,no convocado
ezequiel matias munoz,1990-10-08,185,80,liga profesional,1,estudiantes,4,argentina,99,derecha,defensor central,suplente,no convocado
gaston sauro,1990-02-23,190,78,liga profesional,1,huracan,13,argentina,99,derecha,defensor central,suplente,no convocado
ivan alexis pillud,1986-04-24,178,82,liga profesional,1,racing club,4,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
carlos nicolas colazo,1990-07-08,175,71,liga profesional,1,gimnasia la plata,18,argentina,99,izquierda,"lateral izquierdo, mediocampista izquierdo, mediocampista central",suplente,no convocado
javier fabian toledo,1986-04-20,190,89,liga profesional,1,sarmiento,36,argentina,99,izquierda,delantero,suplente,no convocado
omar fernando tobio,1989-10-18,186,80,liga profesional,1,huracan,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
guillermo luis ortiz,1992-08-09,183,76,liga profesional,1,newell's old boys,2,argentina,99,derecha,defensor central,suplente,no convocado
enzo maximiliano kalinski,1987-03-10,184,82,liga profesional,1,central cordoba sde,50,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
ciro pablo rius aragallo,1988-10-27,175,70,liga profesional,1,central cordoba sde,7,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
mauricio luciano lollo,1987-03-29,184,87,liga profesional,1,estudiantes,26,argentina,99,derecha,defensor central,suplente,no convocado
victor fernando cabrera,1993-02-07,182,77,liga profesional,1,tigre,36,argentina,99,derecha,defensor central,defensor central derecho,no convocado
andres eliseo chavez,1991-03-21,185,97,liga profesional,1,banfield,19,argentina,99,izquierda,delantero,suplente,no convocado
nicolas adrian oroz,1994-04-01,173,73,liga profesional,1,racing club,23,argentina,99,izquierda,"mediocampista ofensivo, extremo izquierdo, extremo derecho",suplente,no convocado
marcos ignacio ledesma,1996-09-15,191,81,liga profesional,1,central cordoba sde,1,argentina,99,derecha,arquero,arquero,no convocado
tomas cardona,1995-10-10,185,77,liga profesional,1,defensa y justicia,25,argentina,99,izquierda,defensor central,defensor central derecho,no convocado
ramiro jesus macagno,1997-03-18,185,77,liga profesional,1,newell's old boys,12,argentina,99,derecha,arquero,suplente,no convocado
juan alberto andrada,1995-01-04,183,77,liga profesional,1,godoy cruz,30,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocentro izquierdo,no convocado
gabriel alejandro gudino,1993-03-16,170,67,liga profesional,1,huracan,18,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo",suplente,no convocado
ivan alejandro gomez,1997-02-28,167,60,liga profesional,1,newell's old boys,15,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
norberto alejandro briasco balekian,1996-02-29,182,80,liga profesional,1,boca juniors,29,armenia,99,derecha,"delantero, extremo derecho, mediocampista derecho",reserva,no convocado
agustin ezequiel cardozo,1997-05-30,182,78,liga profesional,1,tigre,19,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
angelo martino,1998-06-05,178,73,liga profesional,1,talleres cordoba,21,argentina,99,izquierda,"mediocampista izquierdo, lateral izquierdo",suplente,no convocado
hector jonas acevedo,1997-02-06,172,70,liga profesional,1,huracan,10,argentina,99,izquierda,"mediocampista derecho, mediocampista izquierdo",mediocampista derecho,no convocado
cristian ezequiel ferreira,1999-09-12,175,69,liga profesional,1,newell's old boys,30,argentina,99,derecha,"mediocampista central, mediocampista ofensivo",mediocampista ofensivo,no convocado
franco david moyano,1997-09-13,171,68,liga profesional,1,argentinos juniors,17,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro izquierdo,no convocado
tomas oscar badaloni,2000-05-02,186,82,liga profesional,1,tigre,28,argentina,99,izquierda,delantero,suplente,no convocado
fabricio dominguez huertas,1998-06-24,177,69,liga profesional,1,argentinos juniors,11,uruguay,99,derecha,"mediocampista derecho, carrilero derecho, lateral derecho",suplente,no convocado
bryan david castrillon gomez,1999-03-30,169,57,liga profesional,1,union santa fe,17,colombia,99,derecha,"mediocampista izquierdo, mediocampista derecho",mediocampista izquierdo,no convocado
leonel marcelo picco,1998-10-22,188,79,liga profesional,1,colon,29,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo izquierdo,no convocado
lucas nahuel gonzalez martinez,2000-06-03,169,68,liga profesional,1,independiente,14,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
jose maria canale dominguez,1996-07-20,183,80,liga profesional,1,lanus,4,paraguay,99,izquierda,defensor central,defensor central izquierdo,no convocado
jose ignacio florentin bobadilla,1996-07-05,181,78,liga profesional,1,velez sarsfield,7,paraguay,99,izquierda,mediocampista central,suplente,no convocado
